Date,Time,Operator,Flight_No,AC_Type,Registration,cn_ln,Ground,Decade,City,Country,US_State,Total_abroad,Passengers_abroad,Crew_abroad,Total_fatalities,Passengers_fatalities,Crew_fatalities,Source,Destination,Total_survivors,Passengers_survivors,Crew_survivors,Survival_rate,Type,Month,Day_of_week,Continent
2023-01-15,10:50:00,Yeti Airlines,YT691,ATR 72-500-72-212-A,9NANC,754,0,2020,Pokhara,Nepal,,72,68,4,72,68,4,Kathmandu,Pokhara,0,0,0,0.0,Passenger,January,Sunday,Asia
2022-11-21,10:15:00,AeroPaca SAS,?,Piper PA-31-350 Navajo Chieftain,HK-5121,31-7652004,0,2020,Medellín,Colombia,,8,6,2,8,6,2,Medellín,Pizarro,0,0,0,0.0,Passenger,November,Monday,South America
2022-11-18,15:11:00,LATAM,LA2213,Airbus 320-271N,CC-BHB,7864,2,2020,Lima,Peru,,108,102,6,0,0,0,Lima,Juliaca,108,102,6,100.0,Passenger,November,Friday,South America
2022-11-06,08:53:00,Precision Air,PW494,ATR 42-500,5H-PWF,819,0,2020,Bukoba,Tanzania,,43,39,39,19,17,2,Dar es-Salaam,Bukoba,24,22,37,55.81395348837209,Passenger,November,Sunday,Africa
2022-07-16,22:47:00,Meridian,MEM3032,Antonov An-12,UR-CIC,01347701,0,2020,Eleftheroupolis,Greece,,8,0,8,8,0,8,Nis,Amman,0,0,0,0.0,Passenger,July,Saturday,Europe
2022-05-29,10:10:00,Tara Air,?,de Havilland Canada DHC-6 Twin Otter 300,9N-AET,619,0,2020,,Nepal,,22,19,3,22,19,3,Pokhara,Jomsom,0,0,0,0.0,Passenger,May,Sunday,Asia
2022-03-22,06:22:00,China Eastern Airlines,MU 5735,Boeing 737-89P WL,B-1791,41474/5453,0,2020,"Wuzhou,  Guangxi",China,,132,123,9,132,123,9,Kunming,Guangzhou,0,0,0,0.0,Passenger,March,Tuesday,Asia
2021-12-27,19:14:00,Med Jet,?,Learjet 35A,N880Z,35A-591,0,2020,El Cajon,United States of America,California,4,2,2,4,2,2,Santa Ana,El Cajon,0,0,0,0.0,Passenger,December,Monday,North America
2021-09-12,23:15:00,Aeroservice/SiLA,51,Let L-410UVP-E20,RA-67042,2916,0,2020,Kazachinskoye ,Russia,,16,14,2,4,3,1,Irkutsk,Kazachinskoye,12,11,1,75.0,Passenger,September,Sunday,Europe
2021-07-06,15:00:00,Kamchatka Aviation Enterprise,251,Antonov An 26B-100,RA-26085,12310,0,2020,Palana,Russia,,28,22,6,28,22,6,Petropavlovsk,Palana,0,0,0,0.0,Passenger,July,Tuesday,Europe
